day,fold,T,tau_star,tau_robust,NB_star,NB_robust,NB_low90_at_robust,max_NB_point,max_NB_low90,NB_all_at_star,NB_all_at_robust,prevalence,treat_rate_star,treat_rate_rob
10,5,75,0.05,0.05,0.12223774776173471,0.12223774776173471,0.10511009910635634,0.12223774776173471,0.10511009910635634,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.2536873156342183,0.2536873156342183
10,5,100,0.05,0.05,0.043782021425244524,0.043782021425244524,0.03353185353453319,0.043782021425244524,0.03353185353453319,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.11209439528023599,0.11209439528023599
11,1,75,0.05,0.05,0.10907704042715484,0.10907704042715484,0.09177688281226927,0.10907704042715484,0.09177688281226927,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.26570048309178745,0.26570048309178745
11,1,100,0.05,0.05,0.044393592677345536,0.044393592677345536,0.0332042493779145,0.044393592677345536,0.0332042493779145,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.14202898550724638,0.14202898550724638
11,2,75,0.05,0.05,0.13525091799265607,0.13525091799265607,0.1178142414428903,0.13525091799265607,0.1178142414428903,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.24031007751937986,0.24031007751937986
11,2,100,0.05,0.05,0.056354549163606694,0.056354549163606694,0.04451107644958128,0.056354549163606694,0.04451107644958128,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.11143410852713179,0.11143410852713179
11,3,75,0.05,0.05,0.13050378865451567,0.13050378865451567,0.11122002228828619,0.13050378865451567,0.11122002228828619,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.2830739299610895,0.2830739299610895
11,3,100,0.05,0.05,0.054474708171206226,0.054474708171206226,0.042912210572345094,0.054474708171206226,0.042912210572345094,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.13229571984435798,0.13229571984435798
11,4,75,0.05,0.05,0.14446673869424295,0.14446673869424295,0.1278214618516226,0.14446673869424295,0.1278214618516226,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.24633431085043989,0.24633431085043989
11,4,100,0.05,0.05,0.045171579976333795,0.045171579976333795,0.035226828806672335,0.045171579976333795,0.035226828806672335,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.13880742913000976,0.13880742913000976
11,5,75,0.05,0.05,0.12611913263985924,0.12611913263985924,0.10936868626857009,0.12611913263985924,0.10936868626857009,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.2586037364798427,0.2586037364798427
11,5,100,0.05,0.05,0.04212596387724474,0.04212596387724474,0.03266109671896428,0.04212596387724474,0.03266109671896428,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.12389380530973451,0.12389380530973451
12,1,75,0.05,0.05,0.1155860666158149,0.1155860666158149,0.0992288003428925,0.1155860666158149,0.0992288003428925,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.2772946859903382,0.2772946859903382
